Fabrizia D'Ottavio,Italy,2004,Rhythmic Gymnastics,0,1,0,1
Zhaneta Ilieva,Bulgaria,2004,Rhythmic Gymnastics,0,0,1,1
Daniela Masseroni,Italy,2004,Rhythmic Gymnastics,0,1,0,1
Kristina Rangelova,Bulgaria,2004,Rhythmic Gymnastics,0,0,1,1
Irina Belova,Russia,2000,Rhythmic Gymnastics,1,0,0,1
Anna Glazkova,Belarus,2000,Rhythmic Gymnastics,0,1,0,1
Vera Shimanskaya,Russia,2000,Rhythmic Gymnastics,1,0,0,1
Misato Nakamura,Japan,2008,Judo,0,0,1,1
Teddy Riner,France,2008,Judo,0,0,1,1
Wang Gi-Chun,South Korea,2008,Judo,0,1,0,1
Michelle Karvinen,Finland,2010,Ice Hockey,0,0,1,1
Minnamari Tuominen,Finland,2010,Ice Hockey,0,0,1,1
Linda Välimäki,Finland,2010,Ice Hockey,0,0,1,1
Kim Martin,Sweden,2006,Ice Hockey,0,1,0,1
Frida Nevalainen,Sweden,2006,Ice Hockey,0,1,0,1
Emelie Berggren,Sweden,2002,Ice Hockey,0,0,1,1
Julie Chu,United States,2002,Ice Hockey,0,1,0,1
Eva de Goede,Netherlands,2008,Hockey,1,0,0,1
Roc Oliva,Spain,2008,Hockey,0,1,0,1
Zhao Yudiao,China,2008,Hockey,0,1,0,1
Mark Knowles,Australia,2004,Hockey,1,0,0,1
Christopher Zeller,Germany,2004,Hockey,0,0,1,1
Sole García,Argentina,2000,Hockey,0,1,0,1
Angie Skirving-Lambert,Australia,2000,Hockey,1,0,0,1
Kim On-A,South Korea,2008,Handball,0,0,1,1
Sam Oldham,Great Britain,2012,Gymnastics,0,0,1,1
Ihor Radivilov,Ukraine,2012,Gymnastics,0,0,1,1
Yang Hak-Seon,South Korea,2012,Gymnastics,1,0,0,1
Hong Un-Jong,North Korea,2008,Gymnastics,1,0,0,1
Louis Smith,Great Britain,2008,Gymnastics,0,0,1,1
Kim Dae-Eun,South Korea,2004,Gymnastics,0,1,0,1
Silvia Stroescu,Romania,2004,Gymnastics,1,0,0,1
Teng Haibin,China,2004,Gymnastics,1,0,0,1
Gervasio Deferr,Spain,2000,Gymnastics,1,0,0,1
Kristin Maloney,United States,2000,Gymnastics,0,0,1,1
Ruslan Mezentsev,Ukraine,2000,Gymnastics,0,1,0,1
Gabriel,Brazil,2012,Football,0,1,0,1
Mana Iwabuchi,Japan,2012,Football,0,1,0,1
Lucas,Brazil,2012,Football,0,1,0,1
Diego Reyes,Mexico,2012,Football,1,0,0,1
Dele Adeleye,Nigeria,2008,Football,0,1,0,1
Efe Ambrose,Nigeria,2008,Football,0,1,0,1
Fabiana,Brazil,2008,Football,0,1,0,1
Chibuzor Okonkwo,Nigeria,2008,Football,0,1,0,1
Giorgio Chiellini,Italy,2004,Football,0,0,1,1
Cristiane,Brazil,2004,Football,0,1,0,1
Kelly Cristina,Brazil,2004,Football,0,1,0,1
